Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,b_y,alpha,delta,beta,sigma,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
116,-0.00349960063265085,0.766966022340464,0.101387154056003,-0.00475109458938217,-0.00472197591827639,-0.00173509793293214,0.0219185360664362,0.0124919715677903,0.0111928524447615,7.06739526022357,9.95168085762881,1.03172135347203,3.11556775977561,0.322185023827351,3.93568484752295,2.68354892263203,1.32415331747284,-0.0720173925819255,9.76299833308465,14.3566408060399,1.29639939330602,0.213990640506074,0.179342762089288,0.0145104085885636,0.982435133705092,3.36550764540491,0.658231539582411,0.331162849875329,1.03155689039035,0.245608783426273,0.201936490277025,0.444127648655758,-0.461379688272307,-0.00184797039212595,0.996258784265456,1.00148290136419,0.994783618280838,0.535230711534273,0.0542655186058295,0.410503769859898,1.05196638930337,1.04912104051907,0.681850561365268,0.336448005560833,-0.0182985669261011,-0.000332340388310025,0.965571111871347,0.0197963100292335,0.997040571526537,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22980898778314,0.829787303091479,0.491923595113254,0.267396478673012,0.335075619213238,0.521287881422155,-1.32712990554906,2.4739860567363,6.53720896046316
117,-0.00353759526619694,0.769192801181935,0.10138483014911,-0.00474538205995412,-0.00472256918879943,-0.00183292002603674,0.021950346097778,0.0125117755496766,0.0112110904085672,7.05913577054436,9.90412978926046,1.02656678924261,3.09902572686762,0.320428052995599,3.92363754809518,2.69080311737997,1.30461610627842,-0.0717816755632094,9.76207336655046,14.2733563098648,1.28967179494693,0.214280896615508,0.178585041201937,0.0144586282719275,0.980609384156752,3.35482331698041,0.657008287385024,0.330236107941332,1.02963985336459,0.245152346039188,0.202146417989373,0.44400793364136,-0.460825622249828,-0.00177523279364758,0.996388872184221,1.00144471675747,0.994951449152759,0.534594225468435,0.0541997447478122,0.411206029783752,1.05194578863791,1.04909910829007,0.685792987859652,0.332501687599972,-0.0182946754596246,-0.000328403119492518,0.965571111871347,0.0197963100292335,0.997138291575515,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22898500598154,0.830551308803047,0.491594002392618,0.266765615579972,0.334057183362677,0.521103488507197,-1.32439139514779,2.44038570587862,6.5436859444766
118,-0.00357437337004118,0.771353476955352,0.101383009546609,-0.0047409065032864,-0.00472303397017804,-0.00192728389940711,0.0219814759131078,0.0125311593092076,0.0112289421592692,7.05094437315571,9.8579741469934,1.02156862541905,3.08299087918641,0.318726381599333,3.91193203276926,2.69790108039843,1.28558421721685,-0.0715532648460235,9.76106028761856,14.1924663994464,1.28315016207296,0.214562517702846,0.177848066044934,0.0144084199005987,0.978836153397339,3.3444337053295,0.655820222776217,0.329337236462408,1.02777796106721,0.244709038349335,0.202347683638427,0.443889312781012,-0.460279633627449,-0.00170492560510712,0.996516353647637,1.00140775476311,0.995115475097725,0.533977955365133,0.0541362921464619,0.411885752488405,1.05192565410979,1.0490776767085,0.689659497609871,0.328631532051926,-0.018291029661797,-0.00032419945767564,0.965571111871347,0.0197963100292335,0.997235064437377,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22817845977887,0.831287712013283,0.491271383911546,0.266150845012025,0.333062562336158,0.52092726297661,-1.32172452173934,2.40756047005306,6.55011994005396
119,-0.00360997534102489,0.773449946389621,0.101381583243242,-0.00473740010516754,-0.00472339809067823,-0.00201832572517624,0.0220119329077396,0.0125501272666957,0.0112464117262725,7.04282923095947,9.81317427270189,1.01672135923774,3.06744752233067,0.317077981232396,3.90055938626866,2.70484809966582,1.267043194613,-0.0713319080101574,9.7599725157835,14.1139017723806,1.27682715713434,0.214835865106332,0.177131270378064,0.0143597246743572,0.977114045070781,3.334331747959,0.654666410197424,0.328465386009917,1.02596974732432,0.244278511267695,0.202540679948113,0.44377192255443,-0.459742109014663,-0.00163695250851556,0.996641240919646,1.00137197478227,0.995275747692408,0.533381258099401,0.0540750364183893,0.41254370548221,1.05190597888065,1.04905673811165,0.693451331414648,0.324836278373192,-0.0182876097878397,-0.000319759857068279,0.965571111871347,0.0197963100292335,0.997330805178476,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22738922722969,0.831997592370837,0.490955690891876,0.265551826230003,0.332091290588717,0.520759042621233,-1.31912824724237,2.3754925306672,6.55651283420795
120,-0.00364444033510854,0.775484065883513,0.101380465842479,-0.00473465302137954,-0.00472368335135176,-0.00210617595225748,0.0220417248869646,0.0125686841020939,0.0112635033787844,7.0347976452341,9.76969133304588,1.01201984107374,3.05238039616725,0.315480951032191,3.88951083785007,2.71164911465176,1.24897908097596,-0.0711173577776485,9.75882225810989,14.0375948650051,1.27069592275911,0.215101279377171,0.176434100950843,0.0143124884308214,0.975441682419212,3.32451044733239,0.653545927220872,0.327619728400884,1.02421376654017,0.243860420604803,0.202725781153141,0.443655881086013,-0.459213376022498,-0.00157122182669303,0.996763548972066,1.00133733746322,0.995432320038383,0.532803504513129,0.0540158674900464,0.413180627996825,1.05188675596056,1.04903628470037,0.697169702746952,0.321114693605861,-0.018284396352813,-0.000315113518616273,0.965571111871347,0.0197963100292335,0.997425437313845,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22661717065483,0.832681987501982,0.490646868261932,0.264968223151443,0.3311429062616,0.520598655411365,-1.31660123371625,2.3441645379515,6.56286604674165
121,-0.0036778062582252,0.777457649234078,0.101379590443086,-0.00473250083510002,-0.00472390683150414,-0.00219095945952219,0.022070860035351,0.0125868347360099,0.0112802216083809,7.02685611055107,9.72748734910059,1.00745921949953,3.03777467382743,0.313933499389019,3.87877776653621,2.71830874347183,1.23137839764147,-0.0709093745770936,9.75762059195307,13.9634798622664,1.26475000513902,0.215359081529524,0.175756017807663,0.0142666608275598,0.973817710973269,3.31496287852953,0.65245786635209,0.326799457474445,1.02250859652193,0.243454427743317,0.202903343599351,0.443541290241373,-0.458693708515258,-0.00150764626614579,0.996883295420846,1.00130380471048,0.995585246686528,0.532244081010353,0.0539586869485862,0.413797232041061,1.0518679782255,1.04901630855676,0.700815799999249,0.317465570794659,-0.0182813707939082,-0.000310288143094983,0.965571111871347,0.0197963100292335,0.997518892487012,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22586213662261,0.833341893439949,0.490344854649045,0.264399703446334,0.3302169513544,0.52044592098227,-1.31414195910028,2.31355958962279,6.56918058650062
122,-0.00371010977098246,0.779372466173513,0.101378904633276,-0.00473081472599735,-0.00472408191138285,-0.00227279573618733,0.0220993468839412,0.0126045843094333,0.0112965711103954,7.01901036927387,9.68652521724374,1.00303489830071,3.02361595842633,0.312433929478644,3.86835170594825,2.72483130814942,1.21422812575576,-0.0707077279569343,9.75637754525868,13.8914926968986,1.258983294529,0.215609574244803,0.175096494441828,0.0142221947065858,0.972240800606099,3.30568219679994,0.651401336406086,0.32600378951666,1.0208528406364,0.243060200151525,0.203073706409413,0.443428237436983,-0.458183331488095,-0.0014461426723445,0.997000500415814,1.00127133968016,0.995734583528863,0.531702390609466,0.053903405950882,0.414394203439652,1.05184963843561,1.04899680166238,0.70439078844913,0.313887727397374,-0.0182785158465036,-0.000305309782958604,0.965571111871347,0.0197963100292335,0.997611110091754,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22512395639112,0.833978265414044,0.490049582556448,0.263845938038597,0.329312971944931,0.520300652024448,-1.31174879786566,2.2836612119873,6.57545710227638
123,-0.00374138630359636,0.781230241532796,0.101378367352526,-0.00472949376555387,-0.00472421907334475,-0.00235179907937877,0.0221271942764838,0.012621938162865,0.0113125567647591,7.01126546482479,9.64676872280015,0.998742502736983,3.00989027800821,0.310980627761511,3.8582243486194,2.73122085807299,1.19751568776908,-0.070512197222667,9.75510217373393,13.821571040082,1.25338997887527,0.215853043023911,0.174455017833461,0.0141790455994423,0.970709647076604,3.29666164477289,0.650375463541325,0.325231963416246,1.01924512943043,0.242677411769151,0.203237192187757,0.443316797212388,-0.457682425583928,-0.0013866317981208,0.997115186498621,1.00123990676489,0.995880387668933,0.531177853580566,0.0538499435698167,0.414972202849617,1.05183172925323,1.04897775591639,0.707895811981976,0.310380003743454,-0.0182758157254294,-0.000300202767485706,0.965571111871347,0.0197963100292335,0.99770203685782,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22440244667068,0.834592018895509,0.489760978668272,0.263306600889175,0.328430518436516,0.520162655574629,-1.30942007638778,2.25445334306929,6.5816959288301
124,-0.00377167007826642,0.783032654889297,0.101377946433094,-0.00472845887924755,-0.00472432652949484,-0.00242807880136753,0.0221544113355435,0.0126389018153638,0.0113281836167649,7.00362579315049,9.60818254767841,0.994577852950233,2.9965840791184,0.309572054785245,3.84838754972068,2.73748119174323,1.18122892954139,-0.0703225715639367,9.75380263443235,13.7536542853228,1.24796450751219,0.216089757283634,0.173831088398423,0.0141371713406472,0.969222973161681,3.28789455916727,0.649379392018326,0.324483240615643,1.01768412181977,0.24230574329042,0.203394107745003,0.443207032604527,-0.457191131266352,-0.00132903808532269,0.997227378440138,1.00120947157134,0.996022717279178,0.530669907767578,0.0537982254833163,0.415531866749105,1.05181424326082,1.04895916315343,0.711331994602038,0.306941261574848,-0.0182732561768861,-0.000294989681763848,0.965571111871347,0.0197963100292335,0.997791626417177,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22369741059962,0.835184030820608,0.489478964239849,0.262781368969714,0.327569145817398,0.520031734206579,-1.30715411023631,2.22592031741649,6.58789712846763
125,-0.00380099413684348,0.784781340586159,0.10137761667402,-0.00472764811527882,-0.00472441071338126,-0.00250173944092091,0.0221810074291142,0.0126554809438894,0.0113434568580989,6.99609515200487,9.5707322730178,0.990536942895708,2.98368421932178,0.308206737776698,3.83883333016599,2.74361587690741,1.16535610311688,-0.0701386498582953,9.75248625548047,13.6876835269456,1.24270156257876,0.216319971395295,0.173224219869349,0.0140965317646516,0.967779529456958,3.27937437690322,0.648412284736162,0.323756904907447,1.01616850592981,0.24194488236424,0.203544744827112,0.443098996355964,-0.456709552667039,-0.001273289459523,0.997337103065812,1.00118000089247,0.996161631451652,0.5301780086725,0.053748182932196,0.416073808395304,1.05179717297819,1.04894101516081,0.714700441758888,0.303570382688522,-0.0182708244474102,-0.000289691384500546,0.965571111871347,0.0197963100292335,0.99787983886315,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22300863885265,0.835755140929797,0.48920345554106,0.262269922360622,0.326728413920979,0.519907687123081,-1.30494922864232,2.19804685229171,6.59406052856071
126,-0.00382939037214199,0.78647788803538,0.10137735833227,-0.00472701293729827,-0.00472447666519604,-0.00257288097470165,0.022206992138181,0.0126716813632163,0.0113583818083939,6.98867678780902,9.53438437769062,0.986615923540552,2.97117795892407,0.306883264625679,3.8295538790901,2.74962826917837,1.14988585019292,-0.0699602402811864,9.75115960181425,13.6236015343261,1.2375960363522,0.216543925665207,0.172633939125207,0.0140570884671583,0.966378094909552,3.27109464056212,0.6474733235894,0.323052262115256,1.01469699965503,0.241594523727388,0.203689380838336,0.442992731982679,-0.456237761127044,-0.00121931713731356,0.997444389075403,1.001151462676,0.996297190046863,0.529701629361712,0.0536997518889894,0.416598618749299,1.05178051087903,1.04892330369498,0.71800224151238,0.300266267690011,-0.0182685092023914,-0.000284327053350963,0.965571111871347,0.0197963100292335,0.997966640311564,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22233591082135,0.836306153176238,0.488934364328539,0.261771944425699,0.325907887678636,0.519790311152038,-1.30280378996558,2.17081803501064,6.60018575537583
127,-0.00385688956163629,0.788123842235536,0.101377155940665,-0.00472651531962376,-0.00472452833354609,-0.00264159902577665,0.0222323752255483,0.0126875090066127,0.0113729638974793,6.98137343995503,9.4991062333641,0.982811089358784,2.9590529521016,0.305600278952287,3.82054155571154,2.75552152923403,1.13480718628813,-0.0697871598106249,9.74982853689655,13.5613527227786,1.23264301311649,0.216761847257514,0.172059785982189,0.0140188046160413,0.965017477133751,3.26304900317279,0.646561709679613,0.322368639689278,1.01326835099044,0.241254369283438,0.203828279550029,0.442888274722246,-0.455775798451684,-0.00116705544562714,0.997549266861865,1.00112382599056,0.996429453544217,0.529240260240788,0.0536528723925085,0.417106867366704,1.05176424940657,1.04890602049704,0.721238465556079,0.297027834860497,-0.0182663004165767,-0.000278914249081686,0.965571111871347,0.0197963100292335,0.998052002470481,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22167899582214,0.836837837168219,0.488671598328856,0.261287122029252,0.32510713735933,0.519679401650669,-1.30071619092604,2.14421931122895,6.60627226454051
128,-0.00388352140258222,0.789720704450015,0.101376997381837,-0.00472612547130424,-0.004724568811867,-0.00270798506716585,0.0222571666061454,0.0127029699074137,0.011387208648448,6.97418738249964,9.4648660967107,0.979118867372561,2.94729723760449,0.304356476019274,3.8117888906054,2.76129863869065,1.1201094856005,-0.0696192336857409,9.74849828046132,13.5008831218421,1.22783775450659,0.216973951060713,0.171501312955894,0.0139816448004952,0.96369651255057,3.25523123232574,0.645676663408882,0.321705386240317,1.0118813381781,0.240924128137642,0.203961691789679,0.442785652379405,-0.455323679898435,-0.00111644165243303,0.997651768332853,1.0010970609904,0.996558482896611,0.528793408733631,0.0536074880127217,0.417599103253647,1.0517483809883,1.04888915730739,0.72441017011636,0.293854019135394,-0.0182641892517547,-0.000273468992058227,0.965571111871347,0.0197963100292335,0.998135902223216,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22103765429899,0.83735092961881,0.488415061719597,0.260815145771746,0.324325738792035,0.519574753322505,-1.29868487158397,2.11823647401916,6.61231936844809
129,-0.0039093145478394,0.791269933003427,0.101376873162732,-0.0047258200529392,-0.00472460052363277,-0.00277212661901149,0.0222813763189427,0.0127180701815737,0.0114011216616181,6.96712046325193,9.43163309926252,0.975535808160583,2.93589922916662,0.30315059930473,3.80328858641953,2.76696241473907,1.10578246653811,-0.0694562948576537,9.74717346238444,13.4421403415754,1.22317568751732,0.217180440499716,0.170958085002622,0.0139455749096622,0.962414066384202,3.24763521363282,0.644817424477416,0.321061871030395,1.01053476970341,0.240603516596051,0.204089856106275,0.442684886082986,-0.454881396916704,-0.00106741580807415,0.997751926737386,1.00107113887942,0.996684339390954,0.528360598893594,0.0535635454182208,0.418075855688185,1.05173289804971,1.0488727058793,0.727518396742093,0.290743771189542,-0.0182621679316344,-0.00026800584616873,0.965571111871347,0.0197963100292335,0.998218321227812,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.22041163899747,0.837846135782992,0.488164655598987,0.26035571022747,0.323563273568495,0.519476160952228,-1.29670831748241,2.09285565360789,6.61832626087541
