Year,N_y_MM,N_m_MM,N_o_MM,psi_y_MM,psi_o_MM,n_m_MM,psi_y_MM_s,psi_o_MM_s,n_m_MM_s,gamma_MM_path,phi_MM_path
2020,66435.101,591788.074,216588.227,0.112261642163475,0.365989509616241,0.000629942891116286,0.112148844592103,0.366432716665023,0.000763142462173473,0.952789716711611,0.0220302361289501
2021,66163.4085,591185.9345,220706.4555,0.111916411806986,0.373328326369375,-0.00101749177865329,0.111603860840616,0.37452329255173,0.000123097161637587,0.953979760561534,0.0218985232854302
2022,65854.493,591793.3145,225356.1995,0.111279548765501,0.380802205733603,0.0010273925081008,0.111128618261166,0.382949261564583,-0.000562998470591867,0.955170663161347,0.0217829643465538
2023,65496.8295,592741.451,230613.4285,0.110498142806618,0.389062428670945,0.0016021412827234,0.110733992565675,0.391731706040826,-0.00129231853348889,0.956328946557302,0.0216879943658622
2024,64887.0645,591592.6335,235792.213,0.109682002150894,0.398571922042028,-0.00193814267259673,0.110432004959706,0.400870744568757,-0.002048374777895,0.957414488699312,0.021618604773534
2025,64080.7245,589110.9855,240763.5655,0.108775300541395,0.408689655134601,-0.00419485953589027,0.110232079895724,0.410341036161189,-0.00279232464093314,0.958401769099,0.0215786721750448
2026,63517.7815,586315.0495,245755.4805,0.108333875369849,0.419152605258174,-0.00474602590822037,0.110135741758267,0.420094485708876,-0.00348207159787026,0.959279360198188,0.0215665773034007
2027,63452.325,583169.8965,250635.5835,0.108805899242778,0.429781415337511,-0.00536427131229544,0.110130408893801,0.4300664219627,-0.00408690609667516,0.960043025083401,0.0215717228476501
2028,63631.1875,579825.207,255423.547,0.109742016614328,0.440518183611842,-0.00573536034708533,0.110186683563677,0.440182571132373,-0.00458914167850176,0.960694650522782,0.0215766941466781
2029,63753.8425,576353.227,260183.5095,0.110615920087492,0.451430645845937,-0.00598797699390097,0.110262466729679,0.450365719537924,-0.00498375120073532,0.961240259363121,0.0215635991777777
2030,63752.0755,572857.656,264804.6575,0.111287812656902,0.462252105259461,-0.00606498035622194,0.110311030188457,0.46054222651218,-0.00527726722729836,0.96168914134449,0.0215189160202908
2031,63538.426,569756.307,268967.8,0.111518600530384,0.472075160372029,-0.00541382133505064,0.110288921711324,0.470649066196817,-0.00548624056280391,0.962055044451574,0.0214350260046375
2032,63047.594,566926.768,272881.662,0.111209414617022,0.481334940247521,-0.00496622672752633,0.110161931934997,0.480638920705689,-0.00563409517530121,0.962353880655682,0.0213101317567212
2033,62342.989,564017.5305,276814.0475,0.110533778878705,0.490789793811205,-0.00513159311609701,0.109907540015432,0.490478125814251,-0.00574396911999462,0.962595442595967,0.0211466889515312
2034,61619.5065,560963.62,280662.12,0.109845815848094,0.50032142904383,-0.00541456663109852,0.109513403304561,0.500140629823778,-0.00583335016753839,0.962781232319092,0.020948541262701
2035,61008.1135,557634.238,284482.434,0.109405250507592,0.51015955372525,-0.00593511215575815,0.108973719306974,0.5096039559358,-0.00591377296400799,0.962909720029188,0.0207185508282999
2036,60470.222,554104.266,288218.39,0.109131486094713,0.520151905850875,-0.00633026410404891,0.10828670475325,0.518848304898424,-0.00599295705285616,0.962980886577033,0.0204587717366893
2037,59822.1825,550626.7325,291641.221,0.108643803449917,0.529653218389647,-0.00627595511058565,0.107455464115867,0.5278601178492,-0.00607862850999649,0.963001030494586,0.0201729184655378
2038,58975.8625,547277.7765,294657.256,0.107762209671965,0.538405301023584,-0.0060820802956566,0.106491517685318,0.536638568420863,-0.00618115296352625,0.962985279915662,0.0198689060324934
2039,57970.654,543940.363,297415.873,0.106575385728453,0.546780296574535,-0.00609820760737556,0.105417949440082,0.545200073908972,-0.00631262590818529,0.962954323834582,0.0195592712130042
2040,56695.028,540707.239,299888.2515,0.104853465814243,0.554622224134861,-0.00594389425739295,0.104270349324242,0.553578627793627,-0.00648444690879476,0.962929026784228,0.0192598542278221
2041,55325.9225,537593.081,302043.3345,0.102914126791003,0.561843790731377,-0.00575941614127351,0.103095222355334,0.561823595978506,-0.00670549482559246,0.96292787329481,0.0189876384158932
2042,54112.9155,534275.322,304048.3415,0.101282827919946,0.569085505132128,-0.00617150613960393,0.101944643932515,0.569994066257495,-0.00697905473499341,0.962964265550642,0.0187569887983036
2043,52978.1605,530611.868,305946.897,0.0998435272465485,0.576592638519725,-0.00685686545709463,0.100869337465416,0.578149489748096,-0.00729977128246301,0.963043587997428,0.0185772992264923
2044,51915.716,526622.648,307798.242,0.0985823837944775,0.584475892119247,-0.00751815072481565,0.0999135378622615,0.586340612347308,-0.00765451271802685,0.963163456073662,0.0184532784436593
2045,51119.0715,522130.548,309736.0495,0.097904770551751,0.593215721023088,-0.00853001673410769,0.0991112170498723,0.594603027281652,-0.008025575685835,0.963315492375631,0.0183849621863141
2046,50433.664,517452.636,311605.2005,0.0974652760296306,0.602190768431992,-0.00895927659838802,0.0984836249466697,0.602954814244986,-0.00839444216210831,0.963488779311366,0.0183679362132423
