Year,N_y_B,N_m_B,N_o_B,psi_y_B,psi_o_B,n_m_B,psi_y_B_s,psi_o_B_s,n_m_B_s,gamma_B_path,phi_B_path
1981,NaN,NaN,NaN,0.14939123230946,0.269646637377919,0.0100553379903331,0.149871342425961,0.266645313110478,0.00797085013505075,0.912665156402958,0.0307437925199809
1982,NaN,NaN,NaN,0.148956539077475,0.267747725980138,0.0113784807329304,0.149209478251174,0.266081174990769,0.00820323450747341,0.912312683952751,0.0305364046512376
1983,NaN,NaN,NaN,0.148431601356918,0.262172613096982,0.0113690383963603,0.148414044353459,0.265588937150354,0.00826023555268614,0.912438711005489,0.0302723967182055
1984,NaN,NaN,NaN,0.148260657700355,0.256638217420264,0.0106874077807995,0.147479505712594,0.265362842073159,0.00814079509924393,0.913152141047705,0.0299488706671709
1985,NaN,NaN,NaN,0.145742641238873,0.25643933454291,0.00732492139262197,0.146401334784501,0.265562244415036,0.00787442243408852,0.914421144325874,0.0295705561694335
1986,NaN,NaN,NaN,0.143816420184181,0.261330512137172,0.00546239521695074,0.145179184953399,0.266266637329246,0.00751208434000074,0.916044580439683,0.0291487154075805
1987,NaN,NaN,NaN,0.144795120520373,0.266694066753375,0.00666678461171072,0.143807294810638,0.267471082337179,0.00710188382769516,0.917766616735518,0.0286852495492388
1988,NaN,NaN,NaN,0.144273454757465,0.269568431260167,0.00568885029989941,0.142271280174987,0.269120734518767,0.00667646371133811,0.919417184048115,0.028175313365731
1989,NaN,NaN,NaN,0.142234072573766,0.270880705820249,0.00613825253751904,0.140564485337696,0.271147960248918,0.00626042354011542,0.920945246992222,0.0276274544106182
1990,NaN,NaN,NaN,0.138862113862993,0.271667329207703,0.00517732486358941,0.1386982110063,0.273486382665084,0.00587077410249854,0.922344978026877,0.0270608886013825
1991,NaN,NaN,NaN,0.135284986067569,0.276005294552031,0.00500028771754973,0.136698647495045,0.276065516530258,0.00552087341480278,0.92359128392341,0.0264947746187994
1992,NaN,NaN,NaN,0.133580183956095,0.280127313037267,0.00456208192381014,0.134593519692643,0.278802075782118,0.00521832771951271,0.924624558657806,0.0259369547912859
1993,NaN,NaN,NaN,0.133367155290118,0.284238112327115,0.00561223306987463,0.132399602860553,0.281611537482726,0.00496496541765896,0.925422553988351,0.0253821465559528
1994,NaN,NaN,NaN,0.132402665556649,0.286221990274611,0.00466015449366974,0.13012609742531,0.284422623310116,0.00475840901594917,0.926013276360209,0.0248256083320665
1995,NaN,NaN,NaN,0.130924910564765,0.288392492594964,0.00348127916061458,0.127790845971889,0.287187002591476,0.00459936952326421,0.92646597050531,0.0242777253539568
1996,NaN,NaN,NaN,0.126195146481173,0.290595259908832,0.00444098121463288,0.125433926589556,0.289874912890872,0.0044871036710446,0.926837249857312,0.0237640848445176
1997,NaN,NaN,NaN,0.122142197399247,0.294662143136688,0.00318311916402442,0.123121636300897,0.292468951492903,0.0044130959038129,0.927157311905454,0.0233178426180825
1998,NaN,NaN,NaN,0.118432072566393,0.297581967814197,0.00363859553689549,0.120929025504356,0.294962288190112,0.00436456710223964,0.927447749598574,0.0229595193100606
1999,NaN,NaN,NaN,0.117151897911198,0.299887715407836,0.00445438924934144,0.118921626940711,0.297368484682815,0.0043191556537615,0.927755433190516,0.0226920475545817
2000,NaN,NaN,NaN,0.115391080531069,0.298476080809973,0.00524388490465327,0.117143530624001,0.299726676982549,0.00424776824647917,0.928140877934833,0.0225038276410973
2001,NaN,NaN,NaN,0.114614462959255,0.300643440343723,0.00543342746802777,0.115619755323906,0.302095270471815,0.00412267702215521,0.92864844232099,0.0223815937332868
2002,NaN,NaN,NaN,0.11125880613088,0.305660998837061,0.00455264241926179,0.114358847046192,0.304526045980765,0.00392529629540426,0.929247917395313,0.0223119351457242
2003,NaN,NaN,NaN,0.111476024699016,0.303288853655235,0.00427321077198489,0.113354412974288,0.307060813019977,0.00364860008549675,0.929907831747506,0.0222809202582041
2004,NaN,NaN,NaN,0.112343048724354,0.3108751034854,0.00309115113682312,0.112574329914014,0.3097402296218,0.00329304514845021,0.930630696153481,0.0222615118855465
2005,NaN,NaN,NaN,0.111932282258494,0.314665514142101,0.00311038306164163,0.11196821730552,0.312583374675922,0.00286401062219833,0.931356631114906,0.0222294315380208
2006,NaN,NaN,NaN,0.111418940618232,0.31736154475743,0.0014507797032684,0.111480914373335,0.315614124505631,0.00236698239059972,0.932107083054674,0.0221702138901285
2007,NaN,NaN,NaN,0.110899212411487,0.319222407687118,0.00260659256724316,0.111056524659944,0.318875228922393,0.00180722309350429,0.93294781423762,0.0220724970773257
2008,NaN,NaN,NaN,0.11024974174243,0.322019101854101,0.00289042256025684,0.110638409044001,0.322425294638752,0.00118558616396708,0.933931301636064,0.0219243606830117
2009,NaN,NaN,NaN,0.111259638390128,0.322624880653106,0.00193323722431082,0.110168110407442,0.326327524230087,0.000509635660638954,0.93508120295363,0.0217135287699702
2010,NaN,NaN,NaN,0.111928281492699,0.322103408745704,0.000691075814865161,0.109586127097739,0.330636736036171,-0.000197841602572377,0.936394571850436,0.0214299580767804
2011,NaN,NaN,NaN,0.110736873575153,0.33162346778372,-0.00135417717025316,0.108843596517959,0.335367765072902,-0.000900105680330885,0.937784174740458,0.0210767241002741
2012,NaN,NaN,NaN,0.110488434721006,0.33991551189082,-0.0040880307587112,0.107912453078946,0.340465445935251,-0.00155279844591418,0.939078839767008,0.0206700095751436
2013,NaN,NaN,NaN,0.109243047111451,0.346328283261041,-0.00429735064175077,0.106785660222297,0.345834107409283,-0.00211739106696865,0.940188924254235,0.0202295907561051
2014,NaN,NaN,NaN,0.107962611201669,0.355334208058492,-0.00362794431165334,0.105480852417409,0.351368903436594,-0.00257686137833915,0.941097096865011,0.0197805147048225
2015,NaN,NaN,NaN,0.106562965734142,0.361385177868294,-0.00398864247704001,0.104040726908061,0.356974065524408,-0.00293490464508139,0.941820341654236,0.0193506953614541
2016,NaN,NaN,NaN,0.100923696928718,0.366532455612225,-0.00380145274096547,0.102533076326674,0.362588785628913,-0.00320773806683018,0.942437359656433,0.0189715955481829
2017,NaN,NaN,NaN,0.0977900836369369,0.371511773174002,-0.00365314350902313,0.101044146731073,0.368195274938587,-0.00342144374041779,0.943039412889747,0.0186719688063945
2018,NaN,NaN,NaN,0.0971686883635496,0.376388058236451,-0.00389485070033446,0.0996481145799911,0.373815310787551,-0.00360826587765479,0.943701642599967,0.0184532403035213
2019,NaN,NaN,NaN,0.0975214534361007,0.381710019119898,-0.0024322487015761,0.0983903599382395,0.379503974231095,-0.00380349094383867,0.944478527533105,0.0182976414312605
2020,NaN,NaN,NaN,0.0974671003547218,0.387629703832482,-0.00394818811597783,0.0972926253715336,0.385342968433802,-0.00404241684671988,0.945405781990471,0.0181870400730786
2021,NaN,NaN,NaN,0.0973891881271038,0.392731343642519,-0.00423260412939475,0.0963669218340713,0.391437033028946,-0.00435143137136015,0.946517132843879,0.0181134874900141
2022,NaN,NaN,NaN,0.0956487892807245,0.396251143306395,-0.00117758414316405,0.0956266933772278,0.397912199395756,-0.00475377923142859,0.947842389299175,0.0180785677210239
2023,NaN,NaN,NaN,0.0939734497931667,0.401926096417763,-0.00174941045965235,0.0950925989278985,0.404904268142019,-0.00526572579246829,0.94938570334723,0.0180905126752688
2024,NaN,NaN,NaN,0.0921889650223362,0.408072017954026,-0.00568388485118801,0.0947852831045147,0.412535019529616,-0.00587333452957144,0.951118804259378,0.018154498286043
2025,NaN,NaN,NaN,0.0933175368087447,0.415144659219718,-0.00776735005711765,0.0947135204603264,0.420895868930595,-0.006532650557396,0.953001041574836,0.0182665636444865
2026,NaN,NaN,NaN,0.0941191695940384,0.426436004046402,-0.00852410022350225,0.0948643676948546,0.430033481905994,-0.00719460213109386,0.954962003124129,0.0184110399446112
2027,NaN,NaN,NaN,0.0945714967351534,0.438467712172235,-0.00881383824815468,0.0952098554961906,0.439942225501234,-0.00782035125398675,0.956906241212885,0.0185737868274853
2028,NaN,NaN,NaN,0.0947306917884763,0.450591413320783,-0.00910619966552992,0.0957135715645199,0.450580076804701,-0.0083837639342172,0.958767982152069,0.0187432471782697
2029,NaN,NaN,NaN,0.0962155206408615,0.459975682997063,-0.0099071117770303,0.0963318956658178,0.461889046247104,-0.00886885076208324,0.960523208874339,0.0189066852079132
2030,NaN,NaN,NaN,0.0974779554718414,0.467489645511448,-0.00997394423745671,0.0970133182514296,0.473805517103404,-0.00926790766615626,0.962166855720192,0.0190486912428336
