Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
1990,NaN,NaN,NaN,0.147542803010443,0.240119158393621,0.00898267945173536,0.150476436633739,0.242882857653111,0.00957273810559263,0.913438480395917,0.0299610233303818
1991,NaN,NaN,NaN,0.147059586602272,0.239724440037426,0.0109547725475503,0.148451456672454,0.245089871016249,0.00935559811355854,0.915597072185273,0.0294591595334627
1992,NaN,NaN,NaN,0.146921373270495,0.241763762613617,0.0109355600475518,0.146391181445782,0.247679653195197,0.00913953709831415,0.917799375557055,0.028967963741509
1993,NaN,NaN,NaN,0.144573278849379,0.248755425284341,0.00889820908453243,0.144303457194728,0.250584275188958,0.00892276007088657,0.919817900320057,0.0284780971640505
1994,NaN,NaN,NaN,0.142707175409798,0.25320087463903,0.00876284063888422,0.142197811505218,0.253683858765541,0.00871821735416246,0.921428647553363,0.0279947571774235
1995,NaN,NaN,NaN,0.142747517653533,0.259923728045003,0.00778971735058165,0.140087339037835,0.256835437689038,0.00854179267555467,0.922523308689524,0.0275256868401926
1996,NaN,NaN,NaN,0.137843556021277,0.265175532271405,0.00671094784729265,0.137993497173518,0.2598949135753,0.00840836280427328,0.92308213552162,0.0270839253321154
1997,NaN,NaN,NaN,0.134626177571761,0.268365056356115,0.00770033023321659,0.135956262042724,0.26274706143411,0.00832495755166279,0.923197827409023,0.0266932944142974
1998,NaN,NaN,NaN,0.131694813724119,0.270736831243541,0.00831092769572694,0.134016839286911,0.265326873043029,0.00828485864409913,0.923036274342843,0.0263621402221535
1999,NaN,NaN,NaN,0.12968556503819,0.270024856970797,0.00779629972631035,0.132203316189631,0.267625169399458,0.00827432784974416,0.922784733351177,0.0260837383410784
2000,NaN,NaN,NaN,0.12820035671535,0.268450545382864,0.00826964301903343,0.130521665660908,0.269682699977729,0.00827794616363625,0.922615460285285,0.025839464030732
2001,NaN,NaN,NaN,0.128799108211563,0.273637498841852,0.0089063581325155,0.128953088996096,0.271563407103839,0.0082771054451459,0.922607071495606,0.0256031147824679
2002,NaN,NaN,NaN,0.129962379793133,0.276516939849959,0.0083787556396675,0.127458657915268,0.273330467381447,0.00825339622701991,0.9227545592468,0.0253481535247297
2003,NaN,NaN,NaN,0.131303930654374,0.276546228239505,0.00784003955170864,0.125998714323333,0.275064314459372,0.00819284349826355,0.92312384988378,0.0250640757385521
2004,NaN,NaN,NaN,0.125221595746361,0.276172492355265,0.00755194670799608,0.124559132318902,0.27687282625477,0.00808278182093157,0.92382295900861,0.0247669451505738
2005,NaN,NaN,NaN,0.123393885106472,0.275676579665666,0.00850482254065277,0.123166841641376,0.278878045320638,0.0079074873539028,0.924912976839599,0.0244934760289536
2006,NaN,NaN,NaN,0.119572558248936,0.278130978502801,0.00941169135395614,0.121862546632017,0.281194403288303,0.00764807327758544,0.926372667281386,0.0242610870053515
2007,NaN,NaN,NaN,0.117734208143349,0.282287018483854,0.00961221988452987,0.120685740603309,0.283908436803728,0.00729175062375209,0.928107470394082,0.0240757136220178
2008,NaN,NaN,NaN,0.117482747950492,0.284900353013411,0.00877266387970321,0.119655909388733,0.287077934056452,0.00684251876887734,0.930026149208457,0.0239260647118852
2009,NaN,NaN,NaN,0.116357193328674,0.288015153615511,0.00670332367706394,0.118765149462071,0.290740941351993,0.00632622160160805,0.93208220219053,0.0237917566051293
2010,NaN,NaN,NaN,0.117386597086031,0.292787266660318,0.00458342381563703,0.117981900505275,0.294913522621746,0.0057862419866509,0.934233625184312,0.023652452761987
