Year,b_1p0200,b_1p0203,b_1p0205,b_1p0208,b_1p0210,b_1p0212,b_1p0215,b_1p0217,b_1p0220,b_1p0223,b_1p0225,b_1p0228,b_1p0230,b_1p0232,b_1p0235,b_1p0237,b_1p0240,b_1p0243,b_1p0245,b_1p0248,b_1p0250,b_1p0252,b_1p0255,b_1p0257,b_1p0260,b_1p0263,b_1p0265,b_1p0268,b_1p0270,b_1p0272,b_1p0275,b_1p0277,b_1p0280,b_1p0283,b_1p0285,b_1p0288,b_1p0290,b_1p0292,b_1p0295,b_1p0297,b_1p0300
1980,1.04141481315409,1.04114804824091,1.04088169282376,1.0406157476376,1.04035021341076,1.04008509086487,1.03982038071482,1.03955608366861,1.03929220042736,1.03902873168515,1.03876567812899,1.03850304043872,1.03824081928697,1.03797901533904,1.03771762925286,1.03745666167889,1.03719611326007,1.03693598463175,1.03667627642159,1.03641698924954,1.03615812372771,1.03589968046034,1.03564166004375,1.03538406306622,1.03512689010797,1.03487014174109,1.03461381852945,1.03435792102865,1.034102449786,1.03384740534038,1.03359278822225,1.03333859895356,1.0330848380477,1.03283150600943,1.03257860333486,1.03232613051135,1.03207408801749,1.03182247632304,1.03157129588886,1.03132054716691,1.03107023060014
1981,1.04132660825941,1.04105986572977,1.04079353271757,1.04052760995717,1.04026209817631,1.03999699809605,1.03973231043065,1.03946803588754,1.03920417516718,1.03894072896304,1.0386776979615,1.03841508284177,1.03815288427579,1.03789110292823,1.03762973945633,1.03736879450988,1.03710826873115,1.03684816275478,1.03658847720773,1.03632921270923,1.03607036987067,1.03581194929558,1.03555395157951,1.03529637731002,1.03503922706657,1.03478250142047,1.03452620093483,1.03427032616448,1.03401487765591,1.03375985594722,1.03350526156807,1.03325109503957,1.03299735687431,1.0327440475762,1.03249116764051,1.03223871755376,1.03198669779367,1.03173510882913,1.03148395112014,1.03123322511776,1.03098293126404
1982,1.04125593849685,1.04098923690215,1.04072294487376,1.04045706314495,1.04019159244239,1.03992653348602,1.03966188698901,1.03939765365765,1.03913383419132,1.03887042928233,1.03860743961594,1.03834486587022,1.03808270871596,1.03782096881668,1.03755964682847,1.03729874339996,1.03703825917222,1.03677819477873,1.03651855084528,1.03625932798989,1.03600052682277,1.03574214794625,1.03548419195467,1.03522665943438,1.03496955096361,1.03471286711248,1.03445660844284,1.03420077550831,1.03394536885413,1.03369038901717,1.03343583652582,1.03318171189997,1.03292801565092,1.03267474828135,1.03242191028524,1.03216950214785,1.03191752434562,1.03166597734618,1.03141486160822,1.03116417758153,1.03091392570687
1983,1.04117755347326,1.04091093747648,1.040644731032,1.04037893487168,1.0401135497207,1.03984857629757,1.03958401531398,1.03931986747479,1.03905613347786,1.03879281401406,1.03852990976714,1.03826742141369,1.03800534962302,1.03774369505713,1.03748245837062,1.0372216402106,1.03696124121664,1.03670126202069,1.03644170324702,1.03618256551213,1.03592384942469,1.0356655555855,1.03540768458736,1.03515023701508,1.03489321344535,1.03463661444673,1.03438044057952,1.03412469239578,1.03386937043921,1.0336144752451,1.03336000734029,1.03310596724309,1.03285235546325,1.03259917250186,1.03234641885134,1.03209409499538,1.03184220140884,1.03159073855776,1.03133970689927,1.03108910688157,1.03083893894384
1984,1.04106041640242,1.04079395780696,1.04052790858861,1.04026226947761,1.03999704119755,1.0397322244653,1.03946781999095,1.0392038284777,1.03894025062181,1.03867708711248,1.03841433863183,1.03815200585478,1.037890089449,1.03762859007482,1.03736750838517,1.03710684502548,1.03684660063365,1.03658677583995,1.03632737126695,1.03606838752947,1.03580982523448,1.03555168498107,1.03529396736037,1.03503667295544,1.03477980234129,1.03452335608475,1.03426733474441,1.03401173887062,1.03375656900534,1.03350182568214,1.03324750942614,1.03299362075392,1.03274016017349,1.03248712818422,1.03223452527679,1.03198235193314,1.03173060862641,1.03147929582089,1.03122841397199,1.03097796352614,1.03072794492081
1985,1.04087424775085,1.04060803980535,1.04034224081425,1.04007685150621,1.03981187260322,1.03954730482055,1.03928314886667,1.03901940544315,1.03875607524462,1.03849315895865,1.03823065726571,1.03796857083907,1.03770690034473,1.03744564644135,1.03718480978019,1.03692439100501,1.03666439075201,1.03640480964976,1.03614564831914,1.03588690737325,1.03562858741737,1.03537068904885,1.03511321285708,1.03485615942343,1.03459952932113,1.0343433231153,1.03408754136277,1.03383218461213,1.03357725340359,1.03332274826897,1.03306866973161,1.03281501830631,1.03256179449932,1.03230899880822,1.03205663172192,1.03180469372056,1.0315531852755,1.03130210684923,1.03105145889536,1.03080124185853,1.03055145617439
1986,1.04059665956241,1.04033080521643,1.04006535909948,1.03980032193871,1.03953569445463,1.03927147736099,1.03900767136473,1.03874427716591,1.03848129545758,1.03821872692579,1.03795657224942,1.03769483210017,1.03743350714246,1.03717259803334,1.03691210542246,1.03665202995197,1.03639237225642,1.03613313296276,1.03587431269021,1.03561591205021,1.03535793164635,1.03510037207431,1.0348432339218,1.03458651776846,1.03433022418584,1.03407435373729,1.03381890697796,1.03356388445467,1.03330928670588,1.03305511426165,1.03280136764355,1.0325480473646,1.03229515392926,1.03204268783332,1.03179064956387,1.03153903959925,1.03128785840897,1.03103710645372,1.03078678418524,1.03053689204634,1.0302874304708
1987,1.04021769195421,1.03995228988962,1.03968729501261,1.03942270804891,1.0391585297176,1.03889476073099,1.03863140179455,1.03836845360687,1.03810591685952,1.03784379223702,1.03758208041674,1.03732078206883,1.03705989785615,1.0367994284342,1.03653937445101,1.03627973654714,1.03602051535552,1.03576171150146,1.03550332560252,1.03524535826847,1.03498781010122,1.03473068169475,1.03447397363503,1.03421768649999,1.0339618208594,1.03370637727487,1.03345135629974,1.03319675847903,1.0329425843494,1.03268883443906,1.03243550926772,1.03218260934656,1.03193013517814,1.03167808725635,1.03142646606636,1.03117527208457,1.03092450577858,1.03067416760707,1.03042425801982,1.03017477745764,1.02992572635229
1988,1.03973947970942,1.03947461314735,1.03921015244006,1.03894609831181,1.03868245148019,1.03841921265602,1.03815638254326,1.03789396183893,1.03763195123304,1.03737035140853,1.03710916304114,1.03684838679941,1.03658802334453,1.03632807333031,1.0360685374031,1.03580941620172,1.03555071035735,1.03529242049353,1.03503454722602,1.03477709116277,1.03452005290385,1.03426343304137,1.0340072321594,1.03375145083396,1.03349608963288,1.03324114911579,1.03298662983405,1.03273253233067,1.03247885714025,1.03222560478894,1.03197277579438,1.03172037066561,1.03146838990305,1.03121683399843,1.03096570343473,1.03071499868613,1.03046472021797,1.03021486848668,1.02996544393974,1.02971644701564,1.02946787814379
1989,1.03917294611346,1.03890867594005,1.03864481004727,1.03838134915774,1.03811829398738,1.03785564524526,1.03759340363361,1.03733156984768,1.03707014457568,1.0368091284987,1.03654852229064,1.03628832661813,1.03602854214045,1.03576916950945,1.0355102093695,1.0352516623574,1.0349935291023,1.03473581022563,1.03447850634107,1.03422161805442,1.03396514596357,1.03370909065841,1.03345345272079,1.03319823272444,1.03294343123489,1.03268904880942,1.03243508599702,1.03218154333828,1.03192842136537,1.03167572060195,1.03142344156314,1.03117158475543,1.03092015067666,1.03066913981592,1.03041855265356,1.03016838966105,1.02991865130099,1.02966933802707,1.02942045028394,1.02917198850726,1.02892395312357
1990,1.03853458689699,1.03827095076025,1.03800771715519,1.03774488680243,1.03748246041579,1.03722043870229,1.03695882236201,1.03669761208804,1.0364368085664,1.03617641247593,1.03591642448827,1.03565684526774,1.03539767547125,1.03513891574829,1.03488056674079,1.03462262908306,1.03436510340178,1.03410799031581,1.03385129043625,1.03359500436626,1.03333913270106,1.03308367602784,1.03282863492568,1.03257400996551,1.03231980171002,1.03206601071362,1.03181263752234,1.03155968267382,1.03130714669719,1.03105503011307,1.03080333343345,1.03055205716167,1.03030120179238,1.03005076781141,1.02980075569581,1.02955116591372,1.02930199892436,1.02905325517795,1.02880493511569,1.02855703916968,1.0283095677629
1991,1.03784289359306,1.03757990731368,1.0373173217119,1.03705513750583,1.03679335540677,1.03653197611914,1.03627100034041,1.03601042876098,1.03575026206417,1.03549050092606,1.03523114601548,1.0349721979939,1.03471365751535,1.03445552522635,1.03419780176587,1.03394048776517,1.03368358384784,1.03342709062961,1.03317100871839,1.03291533871412,1.03266008120872,1.03240523678604,1.0321508060218,1.03189678948346,1.03164318773023,1.03139000131298,1.03113723077413,1.03088487664767,1.03063293945904,1.03038141972506,1.03013031795393,1.02987963464512,1.02962937028933,1.02937952536843,1.02913010035539,1.02888109571428,1.02863251190015,1.028384349359,1.02813660852775,1.02788928983418,1.02764239369685
1992,1.03711600261244,1.03685366410321,1.03659172437755,1.03633018415051,1.03606904413031,1.03580830501821,1.03554796750848,1.03528803228829,1.03502850003765,1.03476937142931,1.03451064712869,1.0342523277938,1.03399441407517,1.03373690661577,1.03347980605093,1.03322311300827,1.03296682810762,1.03271095196095,1.03245548517232,1.03220042833777,1.03194578204527,1.03169154687465,1.03143772339753,1.03118431217727,1.03093131376887,1.03067872871891,1.03042655756553,1.03017480083831,1.02992345905824,1.02967253273765,1.02942202238015,1.02917192848056,1.02892225152487,1.0286729919902,1.02842415034467,1.02817572704743,1.02792772254856,1.02768013728903,1.02743297170065,1.02718622620599,1.0269399012184
1993,1.03637000048488,1.03610829463803,1.03584698569564,1.03558607436913,1.03532556136304,1.03506544737492,1.03480573309525,1.03454641920735,1.03428750638734,1.03402899530401,1.03377088661877,1.03351318098557,1.03325587905079,1.03299898145322,1.03274248882392,1.03248640178621,1.03223072095553,1.03197544693942,1.03172058033743,1.03146612174102,1.03121207173353,1.03095843089009,1.03070519977755,1.03045237895442,1.03019996897081,1.02994797036832,1.02969638368005,1.02944520943047,1.02919444813537,1.02894410030184,1.02869416642815,1.02844464700373,1.0281955425091,1.02794685341581,1.02769858018638,1.02745072327426,1.02720328312375,1.02695626016998,1.02670965483882,1.02646346754687,1.02621769870136
1994,1.03561787040058,1.0353567738173,1.03509607231548,1.03483576660235,1.03457585737823,1.03431634533636,1.03405723116288,1.03379851553671,1.03354019912948,1.03328228260544,1.03302476662141,1.03276765182666,1.03251093886285,1.03225462836397,1.03199872095623,1.031743217258,1.03148811787974,1.03123342342392,1.03097913448494,1.03072525164907,1.03047177549436,1.0302187065906,1.02996604549922,1.02971379277324,1.02946194895719,1.02921051458704,1.02895949019016,1.02870887628523,1.02845867338218,1.02820888198214,1.02795950257736,1.02771053565117,1.02746198167791,1.02721384112286,1.02696611444221,1.02671880208297,1.02647190448294,1.02622542207067,1.02597935526535,1.02573370447683,1.0254884701055
1995,1.03486920621359,1.03460869082977,1.03434856878754,1.03408884078946,1.03382950753109,1.03357056970089,1.03331202798012,1.03305388304276,1.03279613555544,1.03253878617737,1.0322818355602,1.03202528434803,1.03176913317723,1.03151338267646,1.03125803346652,1.0310030861603,1.03074854136269,1.03049439967055,1.03024066167258,1.02998732794927,1.02973439907283,1.02948187560712,1.02922975810757,1.02897804712112,1.02872674318613,1.02847584683236,1.02822535858086,1.02797527894391,1.02772560842496,1.0274763475186,1.02722749671043,1.02697905647707,1.02673102728604,1.02648340959574,1.02623620385538,1.02598941050493,1.02574302997503,1.025497062687,1.02525150905272,1.02500636947461,1.0247616443456
1996,1.0341303198486,1.03387035519359,1.03361078223693,1.0333516016761,1.03309281420146,1.03283442049623,1.03257642123636,1.03231881709044,1.03206160871967,1.03180479677771,1.03154838191065,1.0312923647569,1.03103674594713,1.03078152610417,1.03052670584295,1.0302722857704,1.0300182664854,1.02976464857868,1.02951143263278,1.02925861922193,1.02900620891199,1.02875420226042,1.02850259981615,1.02825140211955,1.02800060970233,1.0277502230875,1.0275002427893,1.0272506693131,1.02700150315538,1.02675274480364,1.02650439473634,1.02625645342285,1.02600892132336,1.02576179888887,1.02551508656108,1.02526878477236,1.02502289394569,1.02477741449459,1.0245323468231,1.02428769132569,1.02404344838723
