Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
1968,NaN,NaN,NaN,0.185166337389294,0.185950705538304,0.0143103733515192,0.181643321631187,0.184891450409662,0.0148474751794777,0.899611431517762,0.0419389661174437
1969,NaN,NaN,NaN,0.190524711473677,0.188992782838777,0.0125847246368571,0.185170321951028,0.188880959655275,0.0152274302622898,0.901919104030056,0.0426753328102336
1970,NaN,NaN,NaN,0.196597506398993,0.194002085345475,0.0140560904183364,0.18836779099763,0.192692454041589,0.0156952142053424,0.903832782801923,0.0431880062659022
1971,NaN,NaN,NaN,0.20044196958392,0.19797759238926,0.016907428000197,0.191076735767918,0.196269190756886,0.0162039754833078,0.905326224525573,0.0434787057116278
1972,NaN,NaN,NaN,0.197182845548884,0.200789458863158,0.0204262186270659,0.193218362728421,0.199566310407009,0.0166925599643659,0.906395865414775,0.0435822832201476
1973,NaN,NaN,NaN,0.192214947516611,0.202421646124548,0.0201833587720505,0.194797472846486,0.202554721924888,0.0171080767236719,0.907067146148746,0.0435553927747845
1974,NaN,NaN,NaN,0.193516703139597,0.203377533209552,0.0194197603030944,0.195856982644625,0.205216222997082,0.01742913882496,0.907374379082544,0.0434326229077869
1975,NaN,NaN,NaN,0.195430272491799,0.207102119615475,0.0179385237286687,0.196425152251403,0.20753067891195,0.0176647051372414,0.907319335881688,0.0432093585317614
1976,NaN,NaN,NaN,0.197105808437232,0.210175140944958,0.0168277802817255,0.196508459769948,0.209464627694806,0.0178427776045309,0.906863792136629,0.0428745947139095
1977,NaN,NaN,NaN,0.197934048706764,0.212996478140921,0.015792787351548,0.196103749549388,0.210979822162676,0.0179948445319901,0.906006772362486,0.0424258382187112
1978,NaN,NaN,NaN,0.197939801196532,0.215333311641722,0.0163137582428951,0.195213294918762,0.212045473297037,0.0181423130330628,0.904790167581278,0.0418719159838836
1979,NaN,NaN,NaN,0.194066861614646,0.218579570436708,0.0159429683460074,0.193857290169356,0.212651103485943,0.018286974428542,0.903296098706519,0.0412317175424597
1980,NaN,NaN,NaN,0.19163032134697,0.219762300909832,0.0177543408987592,0.192077724029683,0.212821751070826,0.0184106532337933,0.901664441835708,0.0405281682652452
1981,NaN,NaN,NaN,0.190237465255411,0.217039237395413,0.0209327940903536,0.189921833358521,0.212639596238218,0.0184752061334499,0.900134293825537,0.0397684991553158
1982,NaN,NaN,NaN,0.190080073732236,0.211664558835179,0.0214155370043997,0.187434726382679,0.212250944271388,0.0184382614157375,0.899006986701767,0.038953230179293
1983,NaN,NaN,NaN,0.186711169287058,0.20714893001395,0.0211307978285192,0.184667337039832,0.211842424913255,0.0182779041282781,0.898532918667589,0.0380948878157275
1984,NaN,NaN,NaN,0.182592933097708,0.206518503647828,0.0186571840365403,0.181692385216381,0.211596224479995,0.0180012085173667,0.898805856835868,0.037229198096813
1985,NaN,NaN,NaN,0.177863412137377,0.206145381610815,0.0165473723254015,0.178602323499432,0.211653387729083,0.0176405768190438,0.899765938840411,0.0363990633340786
1986,NaN,NaN,NaN,0.174435586354146,0.205444479482916,0.0158890551446726,0.175497865608096,0.212103591767583,0.017235791052655,0.901281888296443,0.0356408513503585
